company_name,website,emails,phones,address,city,country,niche,sources,confidence
Auch im Winter sportlich: Marathon Event in Budapest |,https://www.ungarn-tv.com/auch-im-winter-sportlich-marathon-event-in-budapest-25180.html,sk@flyingmedia.de,"+3627032026, +3626032026, +3628012026",,,,esemény szervező,ddg_search,0.9
Eseménynaptár,https://ktenet.hu/esemenynaptar,"info@ktenet.hu, szabo.orsolya@ktenet.hu, szanku.kitti@ktenet.hu",+3613532005,,,,esemény szervező,ddg_search,0.9
D-Line rendezvényszervezés,https://d-line.hu/rendezvenyszervezo-budapest,info@d-line.hu,"+36309649975, +3619902025",,,,esemény szervező,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény szervező,ddg_search,0.9
RENDEZVÉNYSZERVEZÉS,https://elevenevents.hu/hu/bolt/kategoria/rendezvenyszervezes,info@elevenevents.hu,+36707031314,,,,esemény szervező,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,agency@helloagency.hu,+3613651788,,,,esemény szervező,ddg_search,0.9
Jbagency,https://jbagency.hu,"hello@jbagency.hu, alexandra@jbagency.hu, nora@jbagency.hu, info@jbevent.hu","+36304026566, +36204166596",,,,esemény szervező,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény szervező,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény szervező,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény szervező,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény szervező,ddg_search,0.9
Kapcsolat és elérhetőségek,https://budapestfun.hu/kapcsolat,"hostess@budapestevent.hu, info@budapestfun.hu","+3619509960, +36302812566, +36309316397",,,,esemény szervező,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/kapcsolat,"meeting@meetingbudapest.hu, info@meetingbudapest.hu, szervezes@meetingbudapest.hu, tervezes@meetingbudapest.hu","+36309500240, +3614601150",,,,esemény szervező,ddg_search,0.9
KopProdukco Eseményszerevő elérhetőség,https://www.koprodukcio.hu/kapcsolat,"info@koprodukcio.hu, info@domainem.hu","+36704312928, +36703003054, +36709421106",,,,esemény szervező,ddg_search,0.9
Eventy,https://www.eventy.hu,info@eventy.com,+36300000000,,,,esemény szervező,ddg_search,0.9
www.eventushungary.com,https://www.eventushungary.com,eventus@eventushungary.com,+36705108778,,,,esemény szervező,ddg_search,0.9
Gála,https://gala.hu/kapcsolat,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény szervező,ddg_search,0.9
Kapcsolat és elérhetőségek,https://budapestevent.hu/kapcsolat,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény szervező,ddg_search,0.9
Eseményszervező kérdőívek | Survio,https://www.survio.com/hu/esemeny-szervezo-kerdoivek,support@survio.com,,"Palachovo náměstí 799/5, 62500, Brno, CZ",Brno,CZ,esemény szervező,ddg_search,0.75
Nézd meg azeseményösszefoglaló videóit!,https://www.sparbudapestmaraton.hu/nezd-meg-az-esemeny-osszefoglalo-videoit,nevezes@futanet.hu,,,,,esemény szervező,ddg_search,0.65
BudapestFintech Week – november végén rendezik meg...,https://fintech.hu/budapest-fintech-week-november-vegen-rendezik-meg-az-orszag-elso-kozossegi-szervezesu-fintech-esemenysorozatat,hello@fintechlab.hu,,,,,esemény szervező,ddg_search,0.65
RENDEZVÉNYSZERVEZÉS-cégesvagy családi? Cégkatalógusunk...,https://rendezvenyszervezes.lap.hu,"internetsales@centralmediacsoport.hu, centralmediacsoport@centralmediacsoport.hu, info@fenypontmedia.hu",,,,,esemény szervező,ddg_search,0.65
Jelentkezem szervezőnek – Társasjátékok éjszakája,https://www.tarsasjatekokejszakaja.hu/szervezo,info@tarsasjatekokejszakaja.hu,,,,,esemény szervező,ddg_search,0.65
Meghalt egy futó abudapestifélmaratonon,https://www.origo.hu/itthon/2013/09/meghalt-egy-futo-a-budapesti-felmaratonin,kapcsolat@origo.hu,,,,,esemény szervező,ddg_search,0.65
Budapest event planning & venues,https://www.wideweb.hu/english/locations/hungary+budapest+events.html,concerns@events.they,,,,,esemény szervező,ddg_search,0.65
Senior rendezvényszervező,https://eventrendkarrier.jobsoid.com/j/106665/senior-rendezvenyszervezo-gala-esemenyszervezo-ugynokseg,"xyz@example.com, vasarhelyi.anna@eventrend.hu",,,,,esemény szervező,ddg_search,0.65
JSConf Budapest 2024 Small Print,https://smallprint.tito.io/jsconf-bp/jsconf-budapest-2024,"privacy@jsconfbp.com, nec@jsconfbp.com",,,,,esemény szervező,ddg_search,0.65
Rendezvényszervező-Budapest- Ökumenikus Segélyszervezet,https://segelyszervezet.hu/cikkeink/rendezvenyszervezo-budapest,hr@segelyszervezet.hu,,,,,esemény szervező,ddg_search,0.65
Marketplace Summit,https://marketplacesummit.hu/en,"konferencia@ecommerce.hu, info@marketplacesummit.hu",,,,,esemény szervező,ddg_search,0.65
Event Planning Hungary,https://eventplanninghungary.com,info@eventplanninghungary.com,,,,,esemény szervező,ddg_search,0.65
Join Our Team!,https://www.wemovebudapest.com/join-our-team,info@wemovebudapest.com,,,,,esemény szervező,ddg_search,0.65
Event Organizer Hungary Kft.,https://ulpia.me/event-organizer/224,"leonard.laczko@dentalworld.hu, info@dentalworld.hu",,,,,esemény szervező,ddg_search,0.65
New York CaféBudapest,https://newyorkcafe.hu/en,newyorkcafe.reservation@cafeandevent.eu,,,,,esemény szervező,ddg_search,0.65
Eseménynaptár,https://www.mgyk.hu/esemenynaptar.html,hivatal@mgyk.hu,,,,,esemény szervező,ddg_search,0.65
TreEvent Team,https://treeventteam.com,info@treeventteam.com,,,,,esemény szervező,ddg_search,0.65
EventCompany,http://eventcompany.hu,contact@eventcompany.hu,,,,,esemény szervező,ddg_search,0.65
The Dinner Club Hungary: Wedding Decoration Budapest ...,https://www.dinnerclubhungary.com,"hello@dinnerclubhungary.com, user@domain.com",,,,,esemény szervező,ddg_search,0.65
Budapestfelmaraton,https://www.budapestfelmaraton.hu/rekordreszvetel-es-magyar-gyozelmek-a-40-wizz-air-budapest-felmaratonon,nevezes@futanet.hu,,,,,esemény szervező,ddg_search,0.65
NEMZETI ATLÉTIKAI KÖZPONT NYITÓFUTÁS | Sportnaptár,https://sportnaptar.hu/nemzeti-atletikai-kozpont-nyitofutas_32BD816467511898,,+36309850894,,,,esemény szervező,ddg_search,0.55
Rendezvényszervező Budapest: Kreatív ötletek,https://qjob.hu/budapest/pro/rendezvenyszervezo,,"+3614900436, +36702124206",,,,esemény szervező,ddg_search,0.55
RÓLUNK – Nextime,https://www.nextime.hu/rolunk,,+36303703161,,,,esemény szervező,ddg_search,0.55
EUI Kontakt Pont,https://www.urban-initiative.eu/urban-contact-points/hungary/about-us,,+36209855672,,,,esemény szervező,ddg_search,0.55
Maxapro,https://maxapro.hu/budapest-xiii-kerulet/elado-iroda-budapest-13-ker-13340725,,"+3662000000, +3669900000, +3655000000, +3657500000, +3694900000",,,,esemény szervező,ddg_search,0.55
KiadóirodaBudapest- Ingatlannet.hu,https://www.ingatlannet.hu/kiado-iroda-budapest,,+3615858650,,,,esemény szervező,ddg_search,0.55
InfoparkE- KiadóirodaBudapestNeumann János u. 1/E,https://www.irodakereso.hu/kiado-iroda-irodahaz/Budapest/XI-kerulet/Infopark-E-epulet,,"+36705214800, +36706847644",,,,esemény szervező,ddg_search,0.55
RendezvényszervezőMunkahelyekBudapest| Cvonline.hu,https://www.cvonline.hu/hu/allashirdetesek/rendezvenyszervezo/budapest,,+3626032026,,,,esemény szervező,ddg_search,0.55
MeetingBudapestRendezvényszervezõKft.,https://meeting-budapest-rendezvenyszervez-kft.cegteszt.eu,,+3614598061,,,,esemény szervező,ddg_search,0.55
Magyar CIVINET,https://civitas.eu/civinets/magyar-civinet/hu,,+351229397130,,,,esemény szervező,ddg_search,0.55
"Rendezvény,esküvő-és konferenciahelyszínek Budapesten",https://www.rendezvenyhelyszinek.hu/helyszinek/budapest,,+36309106075,,,,esemény szervező,ddg_search,0.55
Kormányzat,https://2015-2019.kormany.hu/hu/elerhetosegek,,"+3617952000, +3617950200, +3618964737, +3614411000, +3615501858, +3614411641, +3617951200, +3617951235, +3617954755, +3614741111, +3612365111, +3614741446, +36309992118, +3614741168, +3617951000, +3617950359, +3617959516, +3617958333, +3617951700, +3617950697, +3617956766, +3617953832, +3617956816, +3614581000, +3612125918, +3614581826, +3614583441, +3617959000, +3617950893, +3617955000, +3617950381, +3617951400, +3614728000, +3617950716, +3617959184, +3617955010",,,,esemény szervező,ddg_search,0.55
Kapcsolat | IBUSZ rendezvények | IBUSZ,https://www.ibusz.hu/rendezvenyek/kapcsolat,,+3614852700,,,,esemény szervező,ddg_search,0.55
Hvg,https://hvg.hu/itthon/20230826_atletikai_vb_budapest_hoseg_hoguta_a_sportban_globalis_felmelegedes,,,,,,esemény szervező,ddg_search,0.3
Rendezvényszervező irodák,https://rendezvenyszervezes.wyw.hu/Rendezvenyszervezo_Irodak_Budapest,,,,,,esemény szervező,ddg_search,0.3
"[PDF] Szabadság felelősen története Gödöllő, 2002-2013",http://www.reginanet.hu/20022013/magyar,,,,,,esemény szervező,ddg_search,0.3
Folytatódik abudapestifutószezon – jön az NN City...,https://holmozogj.hu/indul-a-budapesti-futoszezon-jon-az-nn-city-run-a-muegyetem-rakparton,,,,,,esemény szervező,ddg_search,0.3
"KiadóirodaBudapest, VII. kerület, Irodaházban 1254 m˛ iro...",https://aprohirdetesingyen.hu/kiado-iroda/41947629/kiado-iroda-budapest-vii-kerulet-irodahazban-1254-m-iro,,,,,,esemény szervező,ddg_search,0.3
Napraforgó Szervezőiroda Budapest,https://www.szervezoiroda.hu/home-2,,,,,,esemény szervező,ddg_search,0.3
rendezvényszervezőBudapest- 83 cég | NetHusky,https://nethusky.hu/rendezvenyszervezo-budapest,,,,,,esemény szervező,ddg_search,0.3
Corporate event venues in Hungary,https://www.micehungary.com,,,,,,esemény szervező,ddg_search,0.3
Google I/O Extended 2025Budapest| Google Developer Groups,https://gdg.community.dev/events/details/google-gdg-budapest-presents-google-io-extended-2025-budapest,,,,,,esemény szervező,ddg_search,0.3
Exoclick,https://www.exoclick.com/events,,,,,,esemény szervező,ddg_search,0.3
Bosch GroupEventorganizer| SmartRecruiters,https://jobs.smartrecruiters.com/BoschGroup/743999993658385-event-organizer,,,,,,esemény szervező,ddg_search,0.3
Mediatar,https://mediatar.spar.hu/sajtokozlemenyek/huszezer-resztvevot-varnak-a-maraton-fesztivalra,,,,,,esemény szervező,ddg_search,0.3
"Halloween HorrorCon 2025, Lurdy Konferencia és",https://stayhappening.com/e/halloween-horrorcon-2025-E2ISXJMMRH8,,,,,,esemény szervező,ddg_search,0.3
Rodrigo Ballester,https://europeanstudies.mcc.hu/person/rodrigo-ballester,,,,,,esemény szervező,ddg_search,0.3
info@ | Nem kategorizált,http://infokukac.com/category/uncategorized,,,,,,esemény szervező,ddg_search,0.3
Események,https://tedxdebrecen.com/esemeny,,,,,,esemény szervező,ddg_search,0.3
média | media,http://www.budapestjewelryweek.com/meacutedia--media.html,,,,,,esemény szervező,ddg_search,0.3
Silhouette Consulting Rendezvényügynökség,https://silhouetteconsulting.hu,,,,,,esemény szervező,ddg_search,0.3
Élőesemény-szervezésművészete: hogyan hozz...,https://unnepnapok.com/elo-esemeny-szervezes-muveszete-hogyan-hozz-letre-maradando-elmenyt,,,,,,esemény szervező,ddg_search,0.3
Lépjen Velünk Kapcsolatba | Sikeres Esemény Budapest,https://www.sikeresesemeny.com/kapcsolat,,,,,,esemény szervező,ddg_search,0.3
Budapesti céges rendezvényhelyszínek – Cégeshelyszínek.hu,https://www.cegeshelyszinek.hu/rendezvenyhelyszinek/budapest,,,,,,esemény szervező,ddg_search,0.3
FESTIPAY (@festipay_) · Budapest,https://www.x-hirlevel.hu/click.php,,,,,,esemény szervező,ddg_search,0.0
Virtuális Telekom Vivicittá 2025,https://www.telekomvivicitta.hu/virtualis-telekom-vivicitta-2025,,,,,,esemény szervező,ddg_search,0.0
SPAR 30 km -BudapestSportiroda (BSI) hivatalos weboldala,https://bpsportiroda.hu/30-km,,,,,,esemény szervező,ddg_search,0.0
Jelentkezem szervezőnek – Társasjátékok éjszakája,https://tje-24.tarsasjatekokejszakaja.hu/szervezo,,,,,,esemény szervező,ddg_search,0.0
