Nemzeti Cégtár » Event Organizer Hungary Kft.,https://www.nemzeticegtar.hu/event-organizer-hungary-kft-c0109990110.html,info@nemzeticegtar.hu,,,,,esemény,ddg_search,0.65
Event Agency Budapest,https://proevent.hu/home,"uryyb@cebrirag.uh, hello@proevent.hu",,,,,esemény,ddg_search,0.65
Események,https://mcc.hu/esemenyek,,+36301375530,,,,esemény,ddg_search,0.55
HUBA & The HOZENTROGERS,https://hozentrogers.com,,,,,,esemény,ddg_search,0.3
company_name,website,emails,phones,address,city,country,niche,sources,confidence
Kapcsolat,https://www.eventstudio.hu/kapcsolat.html,office@eventstudio.hu,+36309718408,,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,agency@helloagency.hu,+3613651788,,,,esemény,ddg_search,0.9
Budapestevent,https://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
Elmenyhajo,https://elmenyhajo.hu,elmenyhajo@elmenyhajo.hu,+36706105107,,,,esemény,ddg_search,0.9
SZAKÉ Event Studio,https://szake-events.hu/kapcsolat,szakedesign@gmail.com,+36204984353,,,,esemény,ddg_search,0.9
Your Special Event in Budapest,https://www.eventinbudapest.com,info@budapestevent.com,+36306766337,,,,esemény,ddg_search,0.9
Smart Event Budapest,https://smarteventbudapest.com/kapcsolat,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
www.eventushungary.com,https://www.eventushungary.com,eventus@eventushungary.com,+36705108778,,,,esemény,ddg_search,0.9
Main page,https://www.uni-corvinus.hu,press@uni-corvinus.hu,+3614825000,,,,esemény,ddg_search,0.9
Kapcsolat,https://www.conceptflow.hu/kapcsolat,hello@conceptflow.hu,+36207718604,,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Eventique | Event Planning and Production Company,https://www.eventique.hu,info@eventique.hu,,,,,esemény,ddg_search,0.65
DÉMONOK KÖZÖTT – ÖRDÖGŰZÉS A VALÓ ÉLETBENBudapest,https://funcode.hu/hu/event/3553-demonok-kozott-ordoguzes-a-valo-eletben-budapest,support@funcode.hu,,,,,esemény,ddg_search,0.65
Aktuális híreink – 2026. március 15.,https://ttkhk.bme.hu/aktualis-hireink-2026-marcius-15,"info@ttkhk.hu, palyazat@ttkhk.hu, rendezveny@ttkhk.hu, pr@ttkhk.hu",,,,,esemény,ddg_search,0.65
Kapcsolat | IBUSZ rendezvények | IBUSZ,https://www.ibusz.hu/rendezvenyek/kapcsolat,,+3614852700,,,,esemény,ddg_search,0.55
NECC PARTY //BUDAPESTPARK // 04.24. -BudapestPark,https://www.budapestpark.hu/events/necc-party-budapest-park-04-24-20260424,,,,,,esemény,ddg_search,0.3
Free TemporaryEmail- EmailOnDeck.com,https://www.emailondeck.com,,,,,,esemény,ddg_search,0.3
"Sziget Fesztivál 2026: Fellépők, napijegyek és minden...",https://budappest.hu/sziget-fesztival-2026-fellepok-napijegyek-es-minden-amit-tudni-kell,,,,,,esemény,ddg_search,0.3
Mel,https://mel.hu/duplantis-mar-alig-varja-hogy-mindenki-hallja-a-budapesti-vilagdontore-irt-himnuszat-566264.html,,,,,,esemény,ddg_search,0.3
company_name,website,emails,phones,address,city,country,niche,sources,confidence
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
InterContinental Budapest,https://www.budapest.intercontinental.com,"corso.restaurant@ihg.com, icbudapest.spa@ihg.com, arz.restaurant@ihg.com, budapest@ihg.com, icbudapest.sales@ihg.com","+3613276392, +3613276427, +3680018893, +3613276366, +3613276333, +3680080321",,,,esemény,ddg_search,0.9
Event By Naomi,https://eventbynaomi.hu/elerhetoseg.html,eventbynaomi@gmail.com,+36305299428,,,,esemény,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
HUNOG,https://hunog.hu/en,"info@hunog.hu, info@goodevent.hu, ugyfelszolgalat@naih.hu, titkarsag@nic.hu, angelus.barbara@domain.hu, gyulai.kinga@goodevent.hu, bekelteto.testulet@bkik.hu, central@company.hu","+3612380115, +36704426061, +3614882131, +3613911400, +36309507815, +36303452041",,,,esemény,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény,ddg_search,0.9
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
"Event planning in Hungary, Budapest | R&G Smart Event",https://rgsmartevent.com/en/event-planning,info@rgsmartevent.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en,info@nruevent.hu,+3618962264,,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda,info@d-line.hu,"+36309649975, +3619902025",,,,esemény,ddg_search,0.9
See TECH GENERATION & TECHLOVERS NETWORKING NIGHT,https://www.startupgrind.com/events/details/startup-grind-budapest-presents-tech-generation-techlovers-networking-night-powered-by-tech-in-the-city,balazs@startupgrind.com,+36709457175,,,,esemény,ddg_search,0.9
"Event Organizer Hungary Kft. céginfó, cégadatlap",https://webshop.opten.hu/event-organizer-hungary-kft-e10471298.html,webshop@opten.hu,,,,,esemény,ddg_search,0.65
Nemzeti Cégtár » Event Organizer Hungary Kft.,https://www.nemzeticegtar.hu/event-organizer-hungary-kft-c0109990110.html,info@nemzeticegtar.hu,,,,,esemény,ddg_search,0.65
Event Agency Budapest,https://proevent.hu/home,"uryyb@cebrirag.uh, hello@proevent.hu",,,,,esemény,ddg_search,0.65
Események,https://mcc.hu/esemenyek,,+36301375530,,,,esemény,ddg_search,0.55
HUBA & The HOZENTROGERS,https://hozentrogers.com,,,,,,esemény,ddg_search,0.3
company_name,website,emails,phones,address,city,country,niche,sources,confidence
RendezvényMesterek – Esküvő- és rendezvényszervezés,https://rendezvenymesterek.hu,"banhegyizsofi@gmail.com, banhegyizsolt.cm@gmail.com","+36304561895, +36304192621","1149 Budapest, Nagy Lajos király útja 214.",,,esemény,ddg_search,1.0
Demoniq Christine,https://edeselet.hu/uzlet/fetis-ruhazat/fehernemuk/demoniq-christine-mellemelos-ordog-szoknya,uzlet@edeselet.hu,"+36703506969, +3617806969, +36705816969, +36703369001, +36308804230, +36705906969","Teréz körút 58, 1066, Budapest, Magyarország",Budapest,Magyarország,esemény,ddg_search,1.0
Meetings & Events | InterContinental Budapest,https://www.budapest.intercontinental.com/en/events,"icbudapest.sales@ihg.com, budapest@ihg.com","+3613276366, +3680018893, +3680080321",,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en,info@nruevent.hu,+3618962264,,,,esemény,ddg_search,0.9
Rendezvényszervezéss,https://luxuryevent.hu/en,info@luxuryevent.hu,+36706000192,,,,esemény,ddg_search,0.9
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
One click away from successful events | Reflow Event Agency,https://www.reflowevents.hu/en,hello@reflowevents.hu,+36306565339,,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Határoknélkül,http://www.hataroknelkul.hu,iroda@hataroknelkul.hu,"+36703228812, +3614220555, +36703884953, +36703855681",,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,agency@helloagency.hu,+3613651788,,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda,info@d-line.hu,"+36309649975, +3619902025",,,,esemény,ddg_search,0.9
Budapestprogramok ma és a hétvégén,https://eventland.eu/hu/budapest-hu,budapest@eventland.eu,"+421910246393, +3611042026, +3644005400, +3635004200, +3619902390, +3635007600, +3635007000, +3623032026, +3623022026, +3615022026",,,,esemény,ddg_search,0.9
iPhone 14 Pro Max,https://almapiac.com/iphone/iphone-14/iphone-14-pro-max/120-iphone-14-pro-max/83200-iphone-14-pro-max-256gb-fugget,info@almaadasvetel.hu,+36706604841,,,,esemény,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
Kezdőoldal,https://bilds.hu,essentiaevent@essentiaevent.hu,+36303789561,,,,esemény,ddg_search,0.9
Event organization with 20 years of experience,https://hrsnyevents.com/en,office@hrsnyevents.com,"+36704660274, +36308275237",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Ru,https://ru.dltv.org,"info@dltv.org, stat@dltv.org, dev@dltv.org, plus@dltv.org",+79042511181,,,,esemény,ddg_search,0.9
New York CaféBudapest,https://newyorkcafe.hu/en,newyorkcafe.reservation@cafeandevent.eu,,,,,esemény,ddg_search,0.65
RENDEZVÉNYSZERVEZÉS,https://rendezvenyszervezes.lap.hu,"internetsales@centralmediacsoport.hu, centralmediacsoport@centralmediacsoport.hu, info@fenypontmedia.hu",,,,,esemény,ddg_search,0.65
Main page EN,https://horizontiroda.hu/en/main-page-en,info@horizontiroda.hu,,,,,esemény,ddg_search,0.65
Pannon Roller Disco,https://rollerdisco.hu,hello@rollerdisco.hu,,,,,esemény,ddg_search,0.65
bkk.hu/en,https://bkk.hu/en,,+3613255255,,,,esemény,ddg_search,0.55
Lépjen Velünk Kapcsolatba | Sikeres Esemény Budapest,https://www.sikeresesemeny.com/kapcsolat,,,,,,esemény,ddg_search,0.3
Gdg,https://gdg.community.dev/events/details/google-gdg-budapest-presents-agentic-ai-hackthon,,,,,,esemény,ddg_search,0.3
